,MWcnt,MWrate
37,30,0.8333333333333334
38,16,0.48484848484848486
39,14,0.3684210526315789
40,5,0.1282051282051282
42,4,0.18181818181818182
62,12,0.631578947368421
63,13,0.4482758620689655
65,18,0.5625
66,18,0.47368421052631576
67,12,0.34285714285714286
68,4,0.10256410256410256
69,8,0.27586206896551724
70,38,1.0
71,25,0.78125
72,27,0.675
74,32,0.9142857142857143
75,20,0.6451612903225806
76,21,0.5
77,25,0.625
78,15,0.39473684210526316
79,8,0.38095238095238093
80,22,0.7333333333333333
88,11,0.2894736842105263
89,29,0.8787878787878788
90,1,0.029411764705882353
93,27,0.675
94,29,0.7435897435897436
95,22,0.5789473684210527
96,4,0.12121212121212122
98,11,0.3548387096774194
99,16,0.9411764705882353
100,28,0.6666666666666666
101,21,0.5526315789473685
102,1,0.02631578947368421
103,21,0.5121951219512195
104,34,1.0
105,13,0.34210526315789475
106,9,0.28125
107,24,0.5853658536585366
108,29,0.725
110,27,0.7297297297297297
112,3,0.07894736842105263
113,0,0.0
114,0,0.0
115,29,0.725
117,15,0.39473684210526316
119,4,0.12903225806451613
121,12,0.3870967741935484
122,20,0.5263157894736842
123,12,0.4
124,8,0.19047619047619047
125,4,0.11428571428571428
128,19,0.475
130,23,0.7931034482758621
131,29,0.6904761904761905
132,4,0.10526315789473684
133,30,0.75
134,13,0.48148148148148145
135,6,0.24
138,11,0.275
139,7,0.21212121212121213
140,11,0.3142857142857143
141,31,0.8611111111111112
142,1,0.03125
143,24,0.6857142857142857
144,19,0.5588235294117647
145,39,1.0
146,13,0.52
147,11,0.39285714285714285
148,4,0.09523809523809523
149,12,0.36363636363636365
151,20,0.6060606060606061
152,12,0.3333333333333333
153,1,0.03333333333333333
154,16,0.5517241379310345
155,2,0.047619047619047616
156,37,1.0
157,20,0.9090909090909091
158,5,0.19230769230769232
159,24,0.5581395348837209
161,9,0.24324324324324326
162,39,1.0
164,37,1.0
165,36,0.972972972972973
166,19,0.59375
167,14,0.5185185185185185
168,39,0.975
171,9,0.23684210526315788
172,28,0.8235294117647058
173,12,0.41379310344827586
174,2,0.05263157894736842
175,22,0.6875
176,10,0.2857142857142857
177,15,0.42857142857142855
178,24,0.7058823529411765
179,4,0.10810810810810811
180,28,0.7567567567567568
182,0,0.0
183,18,0.9473684210526315
184,20,0.7407407407407407
187,22,0.6666666666666666
188,21,0.65625
189,11,0.34375
191,6,0.18181818181818182
194,16,0.4
195,19,0.5277777777777778
196,16,0.5925925925925926
197,1,0.037037037037037035
201,15,0.4166666666666667
205,12,0.35294117647058826
206,29,1.0
207,21,0.5384615384615384
213,27,0.6428571428571429
217,8,0.20512820512820512
218,3,0.07894736842105263
219,2,0.06896551724137931
220,6,0.24
222,1,0.05263157894736842
223,7,0.19444444444444445
224,1,0.05555555555555555
226,27,0.7714285714285715
227,27,0.675
229,19,0.475
230,12,0.3
231,14,0.4827586206896552
232,16,0.3902439024390244
233,18,0.47368421052631576
234,5,0.16129032258064516
235,25,0.625
236,11,0.4782608695652174
240,7,0.28
241,8,0.22857142857142856
242,33,0.825
244,14,0.4117647058823529
246,9,0.2727272727272727
247,19,0.9047619047619048
248,32,1.0
251,22,0.7333333333333333
252,12,0.6
257,1,0.034482758620689655
259,5,0.15625
